spread_name,entry_date,close_date,close_reason,days_held,contracts,credit,max_loss,pnl,trend_regime,vol_regime,ivr,atr_regime,underlying_px,iv_at_entry,hv_at_entry,vrp_at_entry,put_short_strike,call_short_strike
iron_condor,2019-01-10,2019-01-14,profit_target,4,5,1.5742,3.4258,629.58,neutral,mid,,contracting,154.35,0.4429,0.3753,0.0676,139,176.0
bull_put,2019-02-11,2019-02-15,profit_target,4,5,0.9702,4.0298,303.8,bullish,low,0.322,contracting,161.17,0.2206,0.187,0.0337,155,0.0
bull_put,2019-03-15,2019-04-01,profit_target,17,4,0.7493,4.2507,196.09,bullish,low,0.069,expanding,170.69,0.126,0.1068,0.0192,167,0.0
bull_put,2019-04-29,2019-05-02,stop_loss,3,4,0.6321,4.3679,-594.24,bullish,low,0.001,expanding,183.15,0.081,0.0686,0.0124,181,0.0
bull_put,2019-05-30,2019-06-07,profit_target,8,5,0.9509,4.0491,332.39,bearish,low,0.409,contracting,169.49,0.2367,0.2006,0.0361,162,0.0
bull_put,2019-07-05,2019-07-15,profit_target,10,4,0.9906,5.0094,220.9,bullish,low,0.187,contracting,183.58,0.1517,0.1285,0.0231,179,0.0
iron_condor,2019-08-12,2019-08-29,profit_target,17,5,1.4393,3.5607,381.17,neutral,mid,0.405,expanding,177.14,0.2351,0.1993,0.0359,168,190.0
long_dte_condor,2019-09-26,2019-10-22,profit_target,26,4,1.4845,4.5155,309.96,neutral,low,0.217,expanding,182.34,0.1632,0.1383,0.0249,175,193.0
bull_put,2019-11-19,2019-12-13,profit_target,24,3,0.6437,5.3563,123.03,bullish,low,0.012,contracting,195.81,0.0849,0.072,0.013,193,0.0
bull_put,2020-01-10,2020-01-22,profit_target,12,4,0.8857,5.1143,183.73,bullish,low,0.09,contracting,210.77,0.1114,0.0944,0.017,207,0.0
bull_put,2020-02-19,2020-02-24,stop_loss,5,3,1.2916,5.7084,-901.45,bullish,low,0.454,contracting,228.67,0.1936,0.1641,0.0295,221,0.0
high_credit_condor,2020-03-23,2020-04-02,profit_target,10,9,2.7686,2.2314,1251.73,bearish,high,0.996,contracting,164.83,1.0226,0.8666,0.156,147,205.0
bull_put,2020-04-30,2020-05-08,profit_target,8,4,1.4483,4.5517,358.58,bullish,low,0.363,contracting,211.68,0.4492,0.3807,0.0685,195,0.0
bull_put,2020-06-05,2020-06-30,profit_target,25,3,1.2926,5.7074,225.95,bullish,low,0.128,contracting,231.78,0.2092,0.1773,0.0319,223,0.0
long_dte_condor,2020-07-28,2020-09-04,dte_exit,38,3,2.6647,6.3353,-470.98,neutral,low,0.19,expanding,248.76,0.2729,0.2313,0.0416,232,272.0
long_dte_condor,2020-10-02,2020-10-21,profit_target,19,3,2.8816,6.1184,424.99,neutral,low,0.308,contracting,265.72,0.393,0.3331,0.06,240,303.0
bull_put,2020-11-18,2020-11-24,profit_target,6,3,1.8289,6.1711,318.17,bullish,low,0.279,contracting,281.02,0.3633,0.3079,0.0554,263,0.0
bull_put,2020-12-22,2021-01-19,dte_exit,28,3,1.4277,7.5723,268.87,bullish,low,0.049,contracting,300.6,0.1444,0.1224,0.022,293,0.0
bull_put,2021-02-16,2021-03-03,stop_loss,15,2,1.9776,8.0224,-914.79,bullish,low,0.108,contracting,325.62,0.2375,0.2012,0.0362,312,0.0
long_dte_condor,2021-03-31,2021-04-05,profit_target,5,2,3.3441,7.6559,342.95,neutral,low,0.2,contracting,310.08,0.3225,0.2733,0.0492,285,345.0
long_dte_condor,2021-05-03,2021-06-04,profit_target,32,2,2.7315,8.2685,301.65,neutral,low,0.07,contracting,326.66,0.1561,0.1323,0.0238,314,344.0
bull_put,2021-07-02,2021-07-23,profit_target,21,2,1.4314,8.5686,148.42,bullish,low,0.0,expanding,348.88,0.1153,0.0977,0.0176,342,0.0
bull_put,2021-08-20,2021-09-03,profit_target,14,2,1.4071,9.5929,136.74,bullish,low,0.002,expanding,357.72,0.1075,0.0911,0.0164,351,0.0
