spread_name,entry_date,close_date,close_reason,days_held,contracts,credit,max_loss,pnl,trend_regime,vol_regime,ivr,atr_regime,underlying_px,iv_at_entry,hv_at_entry,vrp_at_entry,put_short_strike,call_short_strike,year
long_dte_condor,2019-01-10,2019-01-14,profit_target,4,6,1.6702,3.3298,767.78,neutral,mid,,contracting,154.35,0.4429,0.3753,0.0676,138,179.0,2019
long_dte_condor,2019-02-11,2019-02-22,profit_target,11,4,1.6297,4.3703,308.47,bullish,low,0.322,contracting,161.17,0.2206,0.187,0.0337,152,173.0,2019
bull_put,2019-03-22,2019-04-01,profit_target,10,4,0.8587,4.1413,221.01,bullish,low,0.19,expanding,171.2,0.1698,0.1439,0.0259,166,0.0,2019
bull_put,2019-04-29,2019-05-02,stop_loss,3,4,0.6321,4.3679,-594.26,bullish,low,0.001,expanding,183.15,0.081,0.0686,0.0124,181,0.0,2019
bull_put,2019-05-30,2019-06-07,profit_target,8,5,0.9509,4.0491,332.39,bearish,low,0.409,contracting,169.49,0.2367,0.2006,0.0361,162,0.0,2019
long_dte_condor,2019-07-05,2019-08-12,dte_exit,38,4,1.5397,4.4603,-172.81,bullish,low,0.187,contracting,183.58,0.1517,0.1285,0.0231,177,193.0,2019
long_dte_condor,2019-09-09,2019-09-13,profit_target,4,4,1.8078,4.1922,534.3,neutral,low,0.527,contracting,183.72,0.2816,0.2386,0.043,171,202.0,2019
bull_put,2019-10-11,2019-10-15,profit_target,4,4,1.087,4.913,214.22,bullish,low,0.29,expanding,184.01,0.191,0.1619,0.0291,178,0.0,2019
long_dte_condor,2019-11-12,2019-12-20,dte_exit,38,3,1.3605,5.6395,-418.1,bullish,low,0.081,contracting,194.05,0.1112,0.0942,0.017,189,202.0,2019
bull_put,2020-01-17,2020-02-05,profit_target,19,4,0.862,5.138,176.97,bullish,low,0.119,expanding,215.55,0.1189,0.1007,0.0181,211,0.0,2020
skewed_put,2020-03-04,2020-04-01,dte_exit,28,3,2.4755,6.5245,-1299.55,neutral,high,1.0,expanding,210.57,0.4519,0.3829,0.0689,190,240.0,2020
long_dte_condor,2020-04-29,2020-05-07,profit_target,8,4,2.3469,4.6531,442.09,bullish,low,0.412,contracting,211.77,0.4994,0.4232,0.0762,186,250.0,2020
long_dte_condor,2020-06-04,2020-07-13,dte_exit,39,3,2.1621,5.8379,-886.58,bullish,low,0.12,contracting,227.27,0.2015,0.1707,0.0307,216,243.0,2020
long_dte_condor,2020-08-10,2020-09-14,profit_target,35,3,2.5547,6.4453,506.17,bullish,low,0.16,contracting,261.84,0.2421,0.2052,0.0369,246,284.0,2020
iron_condor,2020-10-12,2020-11-05,profit_target,24,3,2.8007,6.1993,624.04,neutral,low,0.257,expanding,285.3,0.3409,0.2889,0.052,264,315.0,2020
long_dte_condor,2020-12-03,2021-01-06,profit_target,34,3,2.7865,7.2135,438.0,bullish,low,0.121,contracting,294.75,0.217,0.1839,0.0331,279,317.0,2020
bull_put,2021-02-03,2021-02-11,profit_target,8,2,2.064,7.936,225.73,bullish,low,0.151,expanding,316.73,0.2795,0.2369,0.0426,301,0.0,2021
