date,slot,spread,trend_regime,vol_regime,atr_regime,underlying_px,net_credit,max_loss,contracts,expiry,diagram_file,legs
2026-03-27,IWM_A,iron_condor,bearish,mid,expanding,244.34,2.405,4.595,10,2026-04-07,diagrams/2026-03-27_IWM_A_iron_condor.png,S put $235 | L put $228 | S call $256 | L call $263
2026-03-27,XBI_A,iron_condor,bearish,mid,expanding,120.51,1.935,3.065,10,2026-04-10,diagrams/2026-03-27_XBI_A_iron_condor.png,S put $114 | L put $109 | S call $128 | L call $133
2026-04-03,IWM_B,iron_condor,neutral,low,expanding,251.29,1.31,6.69,26,2026-04-14,diagrams/2026-04-03_IWM_B_iron_condor.png,S put $240 | L put $232 | S call $265 | L call $273
2026-04-03,XBI_B,iron_condor,neutral,low,expanding,128.96,0.895,4.105,54,2026-04-17,diagrams/2026-04-03_XBI_B_iron_condor.png,S put $120 | L put $115 | S call $140 | L call $145
2026-04-08,IWM_A,iron_condor,neutral,low,contracting,260.58,1.295,13.705,12,2026-04-20,diagrams/2026-04-08_IWM_A_iron_condor.png,S put $249 | L put $234 | S call $275 | L call $290
2026-04-14,IWM_A,iron_condor,neutral,low,expanding,268.58,1.05,13.95,12,2026-04-27,diagrams/2026-04-14_IWM_A_iron_condor.png,S put $257 | L put $242 | S call $285 | L call $300
2026-04-21,IWM_B,iron_condor,bullish,mid,contracting,274.96,1.91,11.09,16,2026-05-04,diagrams/2026-04-21_IWM_B_iron_condor.png,S put $264 | L put $251 | S call $288 | L call $300
2026-04-28,IWM_A,iron_condor,bullish,low,contracting,273.65,2.03,8.97,20,2026-05-11,diagrams/2026-04-28_IWM_A_iron_condor.png,S put $265 | L put $254 | S call $284 | L call $295
2026-04-28,XBI_A,iron_condor,neutral,low,contracting,131.67,0.45,9.55,28,2026-05-15,diagrams/2026-04-28_XBI_A_iron_condor.png,S put $124 | L put $114 | S call $141 | L call $150
2026-05-05,IWM_B,iron_condor,bullish,low,expanding,282.65,1.89,9.11,20,2026-05-18,diagrams/2026-05-05_IWM_B_iron_condor.png,S put $274 | L put $262 | S call $292 | L call $300
2026-05-12,IWM_A,iron_condor,bullish,low,expanding,278.86,3.39,13.61,14,2026-06-12,diagrams/2026-05-12_IWM_A_iron_condor.png,S put $266 | L put $249 | S call $296 | L call $315
2026-05-13,IWM_A,iron_condor,bullish,low,contracting,281.49,2.86,17.14,11,2026-06-12,diagrams/2026-05-13_IWM_A_iron_condor.png,S put $266 | L put $246 | S call $300 | L call $320
2026-05-18,IWM_A,iron_condor,neutral,low,contracting,277.28,2.01,18.99,9,2026-06-18,diagrams/2026-05-18_IWM_A_iron_condor.png,S put $261 | L put $240
