date,action,slot,spread,trend,vol,atr,contracts,credit,credit_mid,max_loss,underlying_px,slippage_pct,close_reason,realized_pnl,entry_date,days_held,order_id
2026-05-26,open,IWM_A,put_credit_spread,bullish,low,expanding,1,1.89,1.895,19.11,289.71,0.3,,,,,f087b5c5-db51-4637-bc77-6efd4f491ab8
2026-06-03,open,XLE_B,put_credit_spread,bullish,low,contracting,3,0.5,0.54,4.5,58.88,7.4,,,,,f884a2af-aa77-4431-b3dc-2745378cb684
2026-06-04,open,IWM_C,put_credit_spread,bullish,low,expanding,1,1.8,1.795,17.2,290.99,-0.3,,,,,094a39c0-563e-4537-9de6-9c630a5051bf
2026-06-15,close,IWM_A,put_credit_spread,bullish,low,expanding,1,1.89,,19.11,,,profit_target,155.5,2026-05-26,20,f087b5c5-db51-4637-bc77-6efd4f491ab8
2026-06-18,close,IWM_C,put_credit_spread,bullish,low,expanding,1,1.8,,17.2,,,profit_target,117.5,2026-06-04,14,094a39c0-563e-4537-9de6-9c630a5051bf
2026-06-18,open,IWM_A,put_credit_spread,bullish,low,contracting,1,1.81,1.86,18.19,294.08,2.7,,,,,2556ec91-f5da-4e42-9beb-a5b5c453af9f
2026-06-29,close,XLE_B,put_credit_spread,bullish,low,contracting,3,0.5,,4.5,,,dte_exit,-318.0,2026-06-03,26,f884a2af-aa77-4431-b3dc-2745378cb684
2026-06-30,close,IWM_A,put_credit_spread,bullish,low,contracting,1,1.81,,18.19,,,profit_target,121.5,2026-06-18,12,2556ec91-f5da-4e42-9beb-a5b5c453af9f
2026-07-16,open,IWM_A,iron_condor,neutral,low,contracting,1,2.51,2.56,14.49,296.76,2.0,,,,,7ebe42bf-f617-4491-a738-a7e69953f6c2
2026-07-30,open,IWM_B,iron_condor,bearish,low,contracting,1,2.31,2.315,15.69,289.95,0.2,,,,,2fbe4dcf-6245-4f70-a9c0-b3021f6d7532
2026-08-03,close,IWM_A,iron_condor,neutral,low,contracting,1,2.51,,14.49,,,profit_target,184.0,2026-07-16,18,7ebe42bf-f617-4491-a738-a7e69953f6c2
